Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,18.0%,>,"$17,270 ",18.0%,>,"$8,635 ",16.0%,>,"$9,170 ",18.0%,>,"$12,730 ",
,22.0%,>,"$21,800 ",22.0%,>,"$10,900 ",18.0%,>,"$11,650 ",20.0%,>,"$16,190 ",
,25.0%,>,"$26,550 ",25.0%,>,"$13,275 ",20.0%,>,"$13,920 ",24.0%,>,"$19,640 ",
,28.0%,>,"$32,270 ",28.0%,>,"$16,135 ",23.0%,>,"$16,190 ",28.0%,>,"$25,360 ",
,33.0%,>,"$37,980 ",33.0%,>,"$18,990 ",26.0%,>,"$19,640 ",32.0%,>,"$31,080 ",
,38.0%,>,"$49,420 ",38.0%,>,"$24,710 ",30.0%,>,"$25,360 ",35.0%,>,"$36,800 ",
,42.0%,>,"$64,750 ",42.0%,>,"$32,375 ",34.0%,>,"$31,080 ",42.0%,>,"$48,240 ",
,45.0%,>,"$92,370 ",45.0%,>,"$46,185 ",38.0%,>,"$36,800 ",45.0%,>,"$65,390 ",
,49.0%,>,"$118,050 ",49.0%,>,"$59,025 ",42.0%,>,"$44,780 ",48.0%,>,"$88,270 ",
,50.0%,>,"$175,250 ",50.0%,>,"$87,625 ",48.0%,>,"$59,670 ",50.0%,>,"$116,870 ",
,,,,,,,50.0%,>,"$88,270 ",,,,
,,,,,,,,,,,,,
1985,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Tax Reform Act of 1984.
,11.0%,>,"$3,540 ",11.0%,>,"$1,770 ",11.0%,>,"$2,390 ",11.0%,>,"$2,390 ",
,12.0%,>,"$5,720 ",12.0%,>,"$2,860 ",12.0%,>,"$3,540 ",12.0%,>,"$4,580 ",
,14.0%,>,"$7,910 ",14.0%,>,"$3,955 ",14.0%,>,"$4,580 ",14.0%,>,"$6,760 ",
,16.0%,>,"$12,390 ",16.0%,>,"$6,195 ",15.0%,>,"$6,760 ",17.0%,>,"$9,050 ",
,18.0%,>,"$16,650 ",18.0%,>,"$8,325 ",16.0%,>,"$8,850 ",18.0%,>,"$12,280 ",
,22.0%,>,"$21,020 ",22.0%,>,"$10,510 ",18.0%,>,"$11,240 ",20.0%,>,"$15,610 ",
,25.0%,>,"$25,600 ",25.0%,>,"$12,800 ",20.0%,>,"$13,430 ",24.0%,>,"$18,940 ",
,28.0%,>,"$31,120 ",28.0%,>,"$15,560 ",23.0%,>,"$15,610 ",28.0%,>,"$24,460 ",
,33.0%,>,"$36,630 ",33.0%,>,"$18,315 ",26.0%,>,"$18,940 ",32.0%,>,"$29,970 ",
,38.0%,>,"$47,670 ",38.0%,>,"$23,835 ",30.0%,>,"$24,460 ",35.0%,>,"$35,490 ",
,42.0%,>,"$62,450 ",42.0%,>,"$31,225 ",34.0%,>,"$29,970 ",42.0%,>,"$46,520 ",
,45.0%,>,"$89,090 ",45.0%,>,"$44,545 ",38.0%,>,"$35,490 ",45.0%,>,"$63,070 ",
,49.0%,>,"$113,860 ",49.0%,>,"$56,930 ",42.0%,>,"$43,190 ",48.0%,>,"$85,130 ",
,50.0%,>,"$169,020 ",50.0%,>,"$84,510 ",48.0%,>,"$57,550 ",50.0%,>,"$112,720 ",
,,,,,,,50.0%,>,"$85,130 ",,,,
,,,,,,,,,,,,,
1984,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,"Pursuant to the Economic Recovery Tax Act of 1981, for tax years beginning after December 31, 1984, each tax bracket is adjusted for inflation except in the first year after a new law changes it. Last law to change rates was the Tax Reform Act of 1984."
,11.0%,>,"$3,400 ",11.0%,>,"$1,700 ",11.0%,>,"$2,300 ",11.0%,>,"$2,300 ",
,12.0%,>,"$5,500 ",12.0%,>,"$2,750 ",12.0%,>,"$3,400 ",12.0%,>,"$4,400 ",
,14.0%,>,"$7,600 ",14.0%,>,"$3,800 ",14.0%,>,"$4,400 ",14.0%,>,"$6,500 ",
,16.0%,>,"$11,900 ",16.0%,>,"$5,950 ",15.0%,>,"$6,500 ",17.0%,>,"$8,700 ",
,18.0%,>,"$16,000 ",18.0%,>,"$8,000 ",16.0%,>,"$8,500 ",18.0%,>,"$11,800 ",
,22.0%,>,"$20,200 ",22.0%,>,"$10,100 ",18.0%,>,"$10,800 ",20.0%,>,"$15,000 ",
,25.0%,>,"$24,600 ",25.0%,>,"$12,300 ",20.0%,>,"$12,900 ",24.0%,>,"$18,200 ",
,28.0%,>,"$29,900 ",28.0%,>,"$14,950 ",23.0%,>,"$15,000 ",28.0%,>,"$23,500 ",
,33.0%,>,"$35,200 ",33.0%,>,"$17,600 ",26.0%,>,"$18,200 ",32.0%,>,"$28,800 ",
,38.0%,>,"$45,800 ",38.0%,>,"$22,900 ",30.0%,>,"$23,500 ",35.0%,>,"$34,100 ",
,42.0%,>,"$60,000 ",42.0%,>,"$30,000 ",34.0%,>,"$28,800 ",42.0%,>,"$44,700 ",
,45.0%,>,"$85,600 ",45.0%,>,"$42,800 ",38.0%,>,"$34,100 ",45.0%,>,"$60,600 ",
,49.0%,>,"$109,400 ",49.0%,>,"$54,700 ",42.0%,>,"$41,500 ",48.0%,>,"$81,800 ",
,50.0%,>,"$162,400 ",50.0%,>,"$81,200 ",48.0%,>,"$55,300 ",50.0%,>,"$108,300 ",
,,,,,,,50.0%,>,"$81,800 ",,,,
,,,,,,,,,,,,,
1983,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Tax Equity and Fiscal Responsibility Act of 1982
,11.0%,>,"$3,400 ",11.0%,>,"$1,700 ",11.0%,>,"$2,300 ",11.0%,>,"$2,300 ",
,13.0%,>,"$5,500 ",13.0%,>,"$2,750 ",13.0%,>,"$3,400 ",13.0%,>,"$4,400 ",
,15.0%,>,"$7,600 ",15.0%,>,"$3,800 ",15.0%,>,"$4,400 ",15.0%,>,"$6,500 ",
,17.0%,>,"$11,900 ",17.0%,>,"$5,950 ",17.0%,>,"$8,500 ",18.0%,>,"$8,700 ",
,19.0%,>,"$16,000 ",19.0%,>,"$8,000 ",19.0%,>,"$10,800 ",19.0%,>,"$11,800 ",
,23.0%,>,"$20,200 ",23.0%,>,"$10,100 ",21.0%,>,"$12,900 ",21.0%,>,"$15,000 ",
,26.0%,>,"$24,600 ",26.0%,>,"$12,300 ",24.0%,>,"$15,000 ",25.0%,>,"$18,200 ",
,30.0%,>,"$29,900 ",30.0%,>,"$14,950 ",28.0%,>,"$18,200 ",29.0%,>,"$23,500 ",
,35.0%,>,"$35,200 ",35.0%,>,"$17,600 ",32.0%,>,"$23,500 ",34.0%,>,"$28,800 ",
,40.0%,>,"$45,800 ",40.0%,>,"$22,900 ",36.0%,>,"$28,800 ",37.0%,>,"$34,100 ",
,44.0%,>,"$60,000 ",44.0%,>,"$30,000 ",40.0%,>,"$34,100 ",44.0%,>,"$44,700 ",
,48.0%,>,"$85,600 ",48.0%,>,"$42,800 ",45.0%,>,"$41,500 ",48.0%,>,"$60,600 ",
,50.0%,>,"$109,400 ",50.0%,>,"$54,700 ",50.0%,>,"$55,300 ",50.0%,>,"$81,800 ",
,,,,,,,,,,,,,
1982,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Tax Equity and Fiscal Responsibility Act of 1982.
,12.0%,>,"$3,400 ",12.0%,>,"$1,700 ",12.0%,>,"$2,300 ",12.0%,>,"$2,300 ",
,14.0%,>,"$5,500 ",14.0%,>,"$2,750 ",14.0%,>,"$3,400 ",14.0%,>,"$4,400 ",
,16.0%,>,"$7,600 ",16.0%,>,"$3,800 ",16.0%,>,"$4,400 ",16.0%,>,"$6,500 ",
,19.0%,>,"$11,900 ",19.0%,>,"$5,950 ",17.0%,>,"$6,500 ",20.0%,>,"$8,700 ",
,22.0%,>,"$16,000 ",22.0%,>,"$8,000 ",19.0%,>,"$8,500 ",22.0%,>,"$11,800 ",
,25.0%,>,"$20,200 ",25.0%,>,"$10,100 ",22.0%,>,"$10,800 ",23.0%,>,"$15,000 ",
,29.0%,>,"$24,600 ",29.0%,>,"$12,300 ",23.0%,>,"$12,900 ",28.0%,>,"$18,200 ",
,33.0%,>,"$29,900 ",33.0%,>,"$14,950 ",27.0%,>,"$15,000 ",32.0%,>,"$23,500 ",
,39.0%,>,"$35,200 ",39.0%,>,"$17,600 ",31.0%,>,"$18,200 ",38.0%,>,"$28,800 ",
,44.0%,>,"$45,800 ",44.0%,>,"$22,900 ",35.0%,>,"$23,500 ",41.0%,>,"$34,100 ",
,49.0%,>,"$60,000 ",49.0%,>,"$30,000 ",40.0%,>,"$28,800 ",49.0%,>,"$44,700 ",
,50.0%,>,"$85,600 ",50.0%,>,"$42,800 ",44.0%,>,"$34,100 ",50.0%,>,"$60,600 ",
,,,,,,,50.0%,>,"$41,500 ",,,,
,,,,,,,,,,,,,
1981,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Economic Recovery Tax Act of 1981.
,14.0%,>,"$3,400 ",14.0%,>,"$1,700 ",14.0%,>,"$2,300 ",14.0%,>,"$2,300 ",
,16.0%,>,"$5,500 ",16.0%,>,"$2,750 ",16.0%,>,"$3,400 ",16.0%,>,"$4,400 ",
,18.0%,>,"$7,600 ",18.0%,>,"$3,800 ",18.0%,>,"$4,400 ",18.0%,>,"$6,500 ",
,21.0%,>,"$11,900 ",21.0%,>,"$5,950 ",19.0%,>,"$6,500 ",22.0%,>,"$8,700 ",
,24.0%,>,"$16,000 ",24.0%,>,"$8,000 ",21.0%,>,"$8,500 ",24.0%,>,"$11,800 ",
,28.0%,>,"$20,200 ",28.0%,>,"$10,100 ",24.0%,>,"$10,800 ",26.0%,>,"$15,000 ",
,32.0%,>,"$24,600 ",32.0%,>,"$12,300 ",26.0%,>,"$12,900 ",31.0%,>,"$18,200 ",
,37.0%,>,"$29,900 ",37.0%,>,"$14,950 ",30.0%,>,"$15,000 ",36.0%,>,"$23,500 ",
,43.0%,>,"$35,200 ",43.0%,>,"$17,600 ",34.0%,>,"$18,200 ",42.0%,>,"$28,800 ",
,49.0%,>,"$45,800 ",49.0%,>,"$22,900 ",39.0%,>,"$23,500 ",46.0%,>,"$34,100 ",
,54.0%,>,"$60,000 ",54.0%,>,"$30,000 ",44.0%,>,"$28,800 ",54.0%,>,"$44,700 ",
,59.0%,>,"$85,600 ",59.0%,>,"$42,800 ",49.0%,>,"$34,100 ",59.0%,>,"$60,600 ",
,64.0%,>,"$109,400 ",64.0%,>,"$54,700 ",55.0%,>,"$41,500 ",63.0%,>,"$81,800 ",
,68.0%,>,"$162,400 ",68.0%,>,"$81,200 ",63.0%,>,"$55,300 ",68.0%,>,"$108,300 ",
,70.0%,>,"$215,400 ",70.0%,>,"$107,700 ",68.0%,>,"$81,800 ",70.0%,>,"$161,300 ",
,,,,,,,70.0%,>,"$108,300 ",,,,
,,,,,,,,,,,,,
1980,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,0.0%,>,$0 ,Last law to change rates was the Revenue Act of 1978.
,14.0%,>,"$3,400 ",14.0%,>,"$1,700 ",14.0%,>,"$2,300 ",14.0%,>,"$2,300 ",
,16.0%,>,"$5,500 ",16.0%,>,"$2,750 ",16.0%,>,"$3,400 ",16.0%,>,"$4,400 ",
,18.0%,>,"$7,600 ",18.0%,>,"$3,800 ",18.0%,>,"$4,400 ",18.0%,>,"$6,500 ",
,21.0%,>,"$11,900 ",21.0%,>,"$5,950 ",19.0%,>,"$6,500 ",22.0%,>,"$8,700 ",
,24.0%,>,"$16,000 ",24.0%,>,"$8,000 ",21.0%,>,"$8,500 ",24.0%,>,"$11,800 ",
,28.0%,>,"$20,200 ",28.0%,>,"$10,100 ",24.0%,>,"$10,800 ",26.0%,>,"$15,000 ",
,32.0%,>,"$24,600 ",32.0%,>,"$12,300 ",26.0%,>,"$12,900 ",31.0%,>,"$18,200 ",
,37.0%,>,"$29,900 ",37.0%,>,"$14,950 ",30.0%,>,"$15,000 ",36.0%,>,"$23,500 ",
,43.0%,>,"$35,200 ",43.0%,>,"$17,600 ",34.0%,>,"$18,200 ",42.0%,>,"$28,800 ",
,49.0%,>,"$45,800 ",49.0%,>,"$22,900 ",39.0%,>,"$23,500 ",46.0%,>,"$34,100 ",
,54.0%,>,"$60,000 ",54.0%,>,"$30,000 ",44.0%,>,"$28,800 ",54.0%,>,"$44,700 ",
,59.0%,>,"$85,600 ",59.0%,>,"$42,800 ",49.0%,>,"$34,100 ",59.0%,>,"$60,600 ",
,64.0%,>,"$109,400 ",64.0%,>,"$54,700 ",55.0%,>,"$41,500 ",63.0%,>,"$81,800 ",
,68.0%,>,"$162,400 ",68.0%,>,"$81,200 ",63.0%,>,"$55,300 ",68.0%,>,"$108,300 ",
,70.0%,>,"$215,400 ",70.0%,>,"$107,700 ",68.0%,>,"$81,800 ",70.0%,>,"$161,300 ",
,,,,,,,70.0%,>,"$108,300 ",,,,
,,,,,,,,,,,,,
1979,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,Last law to change rates was the Revenue Act of 1978.
,14.0%,>,"$3,400",14.0%,>,"$1,700",14.0%,>,"$2,300",14.0%,>,"$2,300",
,16.0%,>,"$5,500",16.0%,>,"$2,750",16.0%,>,"$3,400",16.0%,>,"$4,400",
,18.0%,>,"$7,600",18.0%,>,"$3,800",18.0%,>,"$4,400",18.0%,>,"$6,500",
,21.0%,>,"$11,900",21.0%,>,"$5,950",19.0%,>,"$6,500",22.0%,>,"$8,700",
,24.0%,>,"$16,000",24.0%,>,"$8,000",21.0%,>,"$8,500",24.0%,>,"$11,800",
,28.0%,>,"$20,200",28.0%,>,"$10,100",24.0%,>,"$10,800",26.0%,>,"$15,000",
,32.0%,>,"$24,600",32.0%,>,"$12,300",26.0%,>,"$12,900",31.0%,>,"$18,200",
,37.0%,>,"$29,900",37.0%,>,"$14,950",30.0%,>,"$15,000",36.0%,>,"$23,500",
,43.0%,>,"$35,200",43.0%,>,"$17,600",34.0%,>,"$18,200",42.0%,>,"$28,800",
,49.0%,>,"$45,800",49.0%,>,"$22,900",39.0%,>,"$23,500",46.0%,>,"$34,100",
,54.0%,>,"$60,000",54.0%,>,"$30,000",44.0%,>,"$28,800",54.0%,>,"$44,700",
,59.0%,>,"$85,600",59.0%,>,"$42,800",49.0%,>,"$34,100",59.0%,>,"$60,600",
,64.0%,>,"$109,400",64.0%,>,"$54,700",55.0%,>,"$41,500",63.0%,>,"$81,800",
,68.0%,>,"$162,400",68.0%,>,"$81,200",63.0%,>,"$55,300",68.0%,>,"$108,300",
,70.0%,>,"$215,400",70.0%,>,"$107,700",68.0%,>,"$81,800",70.0%,>,"$161,300",
,,,,,,,70.0%,>,"$108,300",,,,
,,,,,,,,,,,,,
1978,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,Last law to change rates was the Revenue Act of 1978.
,14.0%,>,"$3,200",14.0%,>,"$1,600",14.0%,>,"$2,200",14.0%,>,"$2,200",
,15.0%,>,"$4,200",15.0%,>,"$2,100",15.0%,>,"$2,700",16.0%,>,"$3,200",
,16.0%,>,"$5,200",16.0%,>,"$2,600",16.0%,>,"$3,200",18.0%,>,"$4,200",
,17.0%,>,"$6,200",17.0%,>,"$3,100",17.0%,>,"$3,700",19.0%,>,"$6,200",
,19.0%,>,"$7,200",19.0%,>,"$3,600",19.0%,>,"$4,200",22.0%,>,"$8,200",
,22.0%,>,"$11,200",22.0%,>,"$5,600",21.0%,>,"$6,200",23.0%,>,"$10,200",
,25.0%,>,"$15,200",25.0%,>,"$7,600",24.0%,>,"$8,200",25.0%,>,"$12,200",
,28.0%,>,"$19,200",28.0%,>,"$9,500",25.0%,>,"$10,200",27.0%,>,"$14,200",
,32.0%,>,"$23,200",32.0%,>,"$11,600",27.0%,>,"$12,200",28.0%,>,"$16,200",
,36.0%,>,"$27,200",36.0%,>,"$13,600",29.0%,>,"$14,200",31.0%,>,"$18,200",
,49.0%,>,"$31,200",39.0%,>,"$15,600",31.0%,>,"$16,200",32.0%,>,"$20,200",
,42.0%,>,"$35,200",42.0%,>,"$17,600",34.0%,>,"$18,200",35.0%,>,"$22,200",
,45.0%,>,"$39,200",45.0%,>,"$19,600",36.0%,>,"$20,200",36.0%,>,"$24,200",
,48.0%,>,"$43,200",48.0%,>,"$21,600",38.0%,>,"$22,200",38.0%,>,"$26,200",
,50.0%,>,"$47,200",50.0%,>,"$23,600",40.0%,>,"$24,200",41.0%,>,"$28,200",
,53.0%,>,"$55,200",53.0%,>,"$27,300",45.0%,>,"$28,200",42.0%,>,"$30,200",
,55.0%,>,"$67,200",55.0%,>,"$33,600",50.0%,>,"$34,200",45.0%,>,"$34,200",
,58.0%,>,"$79,200",58.0%,>,"$39,600",55.0%,>,"$40,200",48.0%,>,"$38,200",
,60.0%,>,"$91,200",60.0%,>,"$45,600",60.0%,>,"$46,200",51.0%,>,"$40,200",
,62.0%,>,"$103,200",62.0%,>,"$51,600",62.0%,>,"$52,200",52.0%,>,"$42,200",
,64.0%,>,"$123,200",64.0%,>,"$61,600",64.0%,>,"$62,200",55.0%,>,"$46,200",
,66.0%,>,"$143,200",66.0%,>,"$71,600",66.0%,>,"$72,200",56.0%,>,"$52,200",
,68.0%,>,"$163,200",68.0%,>,"$81,600",68.0%,>,"$82,200",58.0%,>,"$54,200",
,69.0%,>,"$183,200",69.0%,>,"$91,600",69.0%,>,"$92,200",59.0%,>,"$66,200",
,70.0%,>,"$203,200",70.0%,>,"$101,600",70.0%,>,"$102,200",61.0%,>,"$72,200",
,,,,,,,,,,62.0%,>,"$78,200",
,,,,,,,,,,63.0%,>,"$82,200",
,,,,,,,,,,64.0%,>,"$90,200",
,,,,,,,,,,66.0%,>,"$102,200",
,,,,,,,,,,67.0%,>,"$122,200",
,,,,,,,,,,68.0%,>,"$142,200",
,,,,,,,,,,69.0%,>,"$162,200",
,,,,,,,,,,70.0%,>,"$182,200",
,,,,,,,,,,,,,
1977,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,0.0%,>,$0,Last law to change rates was the Tax Reduction and Simplification Act of 1977
,14.0%,>,"$3,200",14.0%,>,"$1,600",14.0%,>,"$2,200",14.0%,>,"$2,200",
,15.0%,>,"$4,200",15.0%,>,"$2,100",15.0%,>,"$2,700",16.0%,>,"$3,200",
,16.0%,>,"$5,200",16.0%,>,"$2,600",16.0%,>,"$3,200",18.0%,>,"$4,200",
,17.0%,>,"$6,200",17.0%,>,"$3,100",17.0%,>,"$3,700",19.0%,>,"$6,200",
,19.0%,>,"$7,200",19.0%,>,"$3,600",19.0%,>,"$4,200",22.0%,>,"$8,200",
,22.0%,>,"$11,200",22.0%,>,"$5,600",21.0%,>,"$6,200",23.0%,>,"$10,200",
,25.0%,>,"$15,200",25.0%,>,"$7,600",24.0%,>,"$8,200",25.0%,>,"$12,200",
,28.0%,>,"$19,200",28.0%,>,"$9,500",25.0%,>,"$10,200",27.0%,>,"$14,200",
,32.0%,>,"$23,200",32.0%,>,"$11,600",27.0%,>,"$12,200",28.0%,>,"$16,200",
,36.0%,>,"$27,200",36.0%,>,"$13,600",29.0%,>,"$14,200",31.0%,>,"$18,200",
,39.0%,>,"$31,200",39.0%,>,"$15,600",31.0%,>,"$16,200",32.0%,>,"$20,200",
,42.0%,>,"$35,200",42.0%,>,"$17,600",34.0%,>,"$18,200",35.0%,>,"$22,200",
,45.0%,>,"$39,200",45.0%,>,"$19,600",36.0%,>,"$20,200",36.0%,>,"$24,200",
,48.0%,>,"$43,200",48.0%,>,"$21,600",38.0%,>,"$22,200",38.0%,>,"$26,200",
,50.0%,>,"$47,200",50.0%,>,"$23,600",40.0%,>,"$24,200",41.0%,>,"$28,200",
,53.0%,>,"$55,200",53.0%,>,"$27,300",45.0%,>,"$28,200",42.0%,>,"$30,200",
,55.0%,>,"$67,200",55.0%,>,"$33,600",50.0%,>,"$34,200",45.0%,>,"$34,200",
,58.0%,>,"$79,200",58.0%,>,"$39,600",55.0%,>,"$40,200",48.0%,>,"$38,200",
,60.0%,>,"$91,200",60.0%,>,"$45,600",60.0%,>,"$46,200",51.0%,>,"$40,200",
,62.0%,>,"$103,200",62.0%,>,"$51,600",62.0%,>,"$52,200",52.0%,>,"$42,200",
,64.0%,>,"$123,200",64.0%,>,"$61,600",64.0%,>,"$62,200",55.0%,>,"$46,200",
,66.0%,>,"$143,200",66.0%,>,"$71,600",66.0%,>,"$72,200",56.0%,>,"$52,200",
,68.0%,>,"$163,200",68.0%,>,"$81,600",68.0%,>,"$82,200",58.0%,>,"$54,200",
,69.0%,>,"$183,200",69.0%,>,"$91,600",69.0%,>,"$92,200",59.0%,>,"$66,200",
,70.0%,>,"$203,200",70.0%,>,"$101,600",70.0%,>,"$102,200",61.0%,>,"$72,200",
,,,,,,,,,,62.0%,>,"$78,200",
,,,,,,,,,,63.0%,>,"$82,200",
,,,,,,,,,,64.0%,>,"$90,200",
,,,,,,,,,,66.0%,>,"$102,200",
,,,,,,,,,,67.0%,>,"$122,200",
,,,,,,,,,,68.0%,>,"$142,200",
,,,,,,,,,,69.0%,>,"$162,200",
,,,,,,,,,,70.0%,>,"$182,200",
,,,,,,,,,,,,,
1976,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Last law to change rates was the Tax Reform Act of 1976.
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",19.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",23.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",25.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",27.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",28.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",31.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",32.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",35.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",36.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",38.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",41.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",42.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",45.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",48.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",51.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",52.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
1975,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,14.0%,>,$0,Last law to change rates was the Tax Reform Act of 1969
,15.0%,>,"$1,000",15.0%,>,$500,15.0%,>,$500,16.0%,>,"$1,000",
,16.0%,>,"$2,000",16.0%,>,"$1,000",16.0%,>,"$1,000",18.0%,>,"$2,000",
,17.0%,>,"$3,000",17.0%,>,"$1,500",17.0%,>,"$1,500",19.0%,>,"$4,000",
,19.0%,>,"$4,000",19.0%,>,"$2,000",19.0%,>,"$2,000",22.0%,>,"$6,000",
,22.0%,>,"$8,000",22.0%,>,"$4,000",22.0%,>,"$4,000",23.0%,>,"$8,000",
,25.0%,>,"$12,000",25.0%,>,"$6,000",25.0%,>,"$6,000",25.0%,>,"$10,000",
,28.0%,>,"$16,000",28.0%,>,"$8,000",28.0%,>,"$8,000",27.0%,>,"$12,000",
,32.0%,>,"$20,000",32.0%,>,"$10,000",32.0%,>,"$10,000",28.0%,>,"$14,000",
,36.0%,>,"$24,000",36.0%,>,"$12,000",36.0%,>,"$12,000",31.0%,>,"$16,000",
,39.0%,>,"$28,000",39.0%,>,"$14,000",39.0%,>,"$14,000",32.0%,>,"$18,000",
,42.0%,>,"$32,000",42.0%,>,"$16,000",42.0%,>,"$16,000",35.0%,>,"$20,000",
,45.0%,>,"$36,000",45.0%,>,"$18,000",45.0%,>,"$18,000",36.0%,>,"$22,000",
,48.0%,>,"$40,000",48.0%,>,"$20,000",48.0%,>,"$20,000",38.0%,>,"$24,000",
,50.0%,>,"$44,000",50.0%,>,"$22,000",50.0%,>,"$22,000",41.0%,>,"$26,000",
,53.0%,>,"$52,000",53.0%,>,"$26,000",53.0%,>,"$26,000",42.0%,>,"$28,000",
,55.0%,>,"$64,000",55.0%,>,"$32,000",55.0%,>,"$32,000",45.0%,>,"$32,000",
,58.0%,>,"$76,000",58.0%,>,"$38,000",58.0%,>,"$38,000",48.0%,>,"$36,000",
,60.0%,>,"$88,000",60.0%,>,"$44,000",60.0%,>,"$44,000",51.0%,>,"$38,000",
,62.0%,>,"$100,000",62.0%,>,"$50,000",62.0%,>,"$50,000",52.0%,>,"$40,000",
,64.0%,>,"$120,000",64.0%,>,"$60,000",64.0%,>,"$60,000",55.0%,>,"$44,000",
,66.0%,>,"$140,000",66.0%,>,"$70,000",66.0%,>,"$70,000",56.0%,>,"$50,000",
,68.0%,>,"$160,000",68.0%,>,"$80,000",68.0%,>,"$80,000",58.0%,>,"$52,000",
,69.0%,>,"$180,000",69.0%,>,"$90,000",69.0%,>,"$90,000",59.0%,>,"$64,000",
,70.0%,>,"$200,000",70.0%,>,"$100,000",70.0%,>,"$100,000",61.0%,>,"$70,000",
,,,,,,,,,,62.0%,>,"$76,000",
,,,,,,,,,,63.0%,>,"$80,000",
,,,,,,,,,,64.0%,>,"$88,000",
,,,,,,,,,,66.0%,>,"$100,000",
,,,,,,,,,,67.0%,>,"$120,000",
,,,,,,,,,,68.0%,>,"$140,000",
,,,,,,,,,,69.0%,>,"$160,000",
,,,,,,,,,,70.0%,>,"$180,000",
,,,,,,,,,,,,,
